"","Date","President","Approval","PrezParty","CPIChange","Chamber","ChamberParty","PctVotes","UnemploymentRate","GDP","GDPchange"
"1","1945/06","Truman",87,"Democrat",NA,NA,NA,NA,NA,NA,NA
"2","1945/10","Truman",82,"Democrat",NA,NA,NA,NA,NA,NA,NA
"3","1945/11","Truman",75,"Democrat",NA,NA,NA,NA,NA,NA,NA
"4","1946/01","Truman",63,"Democrat",NA,NA,NA,NA,NA,NA,NA
"5","1946/02","Truman",49,"Democrat",NA,NA,NA,NA,NA,NA,NA
"6","1946/03","Truman",51,"Democrat",NA,NA,NA,NA,NA,NA,NA
"7","1946/06","Truman",44,"Democrat",NA,NA,NA,NA,NA,NA,NA
"8","1946/09","Truman",33,"Democrat",NA,NA,NA,NA,NA,NA,NA
"9","1946/11","Truman",34,"Democrat",NA,NA,NA,NA,NA,NA,NA
"10","1946/12","Truman",35,"Democrat",NA,NA,NA,NA,NA,NA,NA
"11","1947/01","Truman",48,"Democrat",NA,NA,NA,NA,NA,2182.681,0
"12","1947/03","Truman",61.5,"Democrat",NA,NA,NA,NA,NA,NA,NA
"13","1947/04","Truman",57,"Democrat",NA,NA,NA,NA,NA,2176.892,-0.2652
"14","1947/05","Truman",65,"Democrat",NA,NA,NA,NA,NA,NA,NA
"15","1947/06","Truman",55,"Democrat",NA,NA,NA,NA,NA,NA,NA
"16","1947/07","Truman",61,"Democrat",NA,NA,NA,NA,NA,2172.432,-0.2049
"17","1947/09","Truman",55,"Democrat",NA,NA,NA,NA,NA,NA,NA
"18","1947/11","Truman",54,"Democrat",NA,NA,NA,NA,NA,NA,NA
"19","1948/01","Truman",53,"Democrat",NA,NA,NA,NA,3.4,2239.682,1.506
"20","1948/04","Truman",36,"Democrat",NA,NA,NA,NA,3.9,2276.69,1.6524
"21","1948/05","Truman",39,"Democrat",NA,NA,NA,NA,3.5,NA,NA
"22","1948/06","Truman",40,"Democrat",NA,NA,NA,NA,3.6,NA,NA
"23","1949/01","Truman",69,"Democrat",NA,NA,NA,NA,4.3,2260.807,-1.3766
"24","1949/03","Truman",57,"Democrat",NA,NA,NA,NA,5,NA,NA
"25","1949/05","Truman",51,"Democrat",NA,NA,NA,NA,6.1,NA,NA
"26","1949/06","Truman",57,"Democrat",NA,NA,NA,NA,6.2,NA,NA
"27","1949/09","Truman",48.6667,"Democrat",NA,NA,NA,NA,6.6,NA,NA
"28","1950/01","Truman",45,"Democrat",NA,NA,NA,NA,6.5,2346.104,3.9317
"29","1950/02","Truman",37,"Democrat",NA,NA,NA,NA,6.4,NA,NA
"30","1950/05","Truman",41,"Democrat",NA,NA,NA,NA,5.5,NA,NA
"31","1950/06","Truman",37,"Democrat",NA,NA,NA,NA,5.4,NA,NA
"32","1950/07","Truman",42.5,"Democrat",NA,NA,NA,NA,5,2511.127,3.8651
"33","1950/08","Truman",43,"Democrat",NA,NA,NA,NA,4.5,NA,NA
"34","1950/09","Truman",35,"Democrat",NA,NA,NA,NA,4.4,NA,NA
"35","1950/10","Truman",39.5,"Democrat",NA,NA,NA,NA,4.2,2559.214,1.915
"36","1950/12","Truman",33,"Democrat",NA,NA,NA,NA,4.3,NA,NA
"37","1951/01","Truman",36,"Democrat",NA,NA,NA,NA,3.7,2593.967,1.358
"38","1951/02","Truman",26,"Democrat",NA,NA,NA,NA,3.4,NA,NA
"39","1951/03","Truman",27.5,"Democrat",NA,NA,NA,NA,3.4,NA,NA
"40","1951/04","Truman",24,"Democrat",NA,NA,NA,NA,3.1,2638.898,1.7321
"41","1951/05","Truman",24,"Democrat",NA,NA,NA,NA,3,NA,NA
"42","1951/06","Truman",25,"Democrat",NA,NA,NA,NA,3.2,NA,NA
"43","1951/07","Truman",29,"Democrat",NA,NA,NA,NA,3.1,2693.259,2.06
"44","1951/08","Truman",31,"Democrat",NA,NA,NA,NA,3.1,NA,NA
"45","1951/09","Truman",32,"Democrat",NA,NA,NA,NA,3.3,NA,NA
"46","1951/10","Truman",29,"Democrat",NA,NA,NA,NA,3.5,2699.156,0.219
"47","1951/11","Truman",23,"Democrat",NA,NA,NA,NA,3.5,NA,NA
"48","1952/01","Truman",24,"Democrat",NA,NA,NA,NA,3.2,2727.954,1.0669
"49","1952/02","Truman",22,"Democrat",NA,NA,NA,NA,3.1,NA,NA
"50","1952/04","Truman",28,"Democrat",NA,NA,NA,NA,2.9,2733.8,0.2143
"51","1952/05","Truman",29,"Democrat",NA,NA,NA,NA,3,NA,NA
"52","1952/06","Truman",32,"Democrat",NA,NA,NA,NA,3,NA,NA
"53","1952/07","Truman",29,"Democrat",NA,NA,NA,NA,3.2,2753.517,0.7212
"54","1952/10","Truman",32,"Democrat",NA,NA,NA,NA,3,2843.941,3.2839
"55","1952/12","Truman",32,"Democrat",NA,NA,NA,NA,2.7,NA,NA
"56","1953/02","Eisenhower",67.5,"Republican",NA,NA,NA,NA,2.6,NA,NA
"57","1953/03","Eisenhower",74,"Republican",NA,NA,NA,NA,2.6,NA,NA
"58","1953/04","Eisenhower",73,"Republican",NA,NA,NA,NA,2.7,2919.206,0.7731
"59","1953/05","Eisenhower",74,"Republican",NA,NA,NA,NA,2.5,NA,NA
"60","1953/07","Eisenhower",71,"Republican",NA,NA,NA,NA,2.6,2902.785,-0.5625
